Programs Pages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STEM,STEM,STEM,STEM,STEM,STEM,STEM,Life Skills,Life Skills,Life Skills,Life Skills,Visual Arts,Visual Arts,Visual Arts,Visual Arts,Visual Arts,Visual Arts,Performance,Performance,Performance,Media Arts,Media Arts,Media Arts,Media Arts,Athletics,Athletics,Athletics,Athletics,Athletics,Athletics,Athletics,Athletics,Athletics,Music,Music,Music,Music,Kindergarten,Kindergarten,Kindergarten,Kindergarten,Kindergarten
Themes body,,,,,,,,,,,,,,,,,,,,,,"Our program uses Clip Champ, a free, online video-editing software that is intuitive and easy to learn. Student work is stored on the cloud to allow for access outside of class.","Our program uses three, easy-to-learn, online software platforms: Procreate for digital painting, Pixil, a ""pixel-art"" maker, and Photopea, a photo-editing program.",This program is designed for beginners. All students need is an email address to save their Scratch projects. Instructors will guide them step-by-step.,"Our instructors are mindful to divide class games into like-aged or like-experienced groups so that everyone feels included in the fun, regardless of skill level.","No matter your experience level, there’s room for everyone in our yoga program. From absolute beginners to experienced practitioners, we ensure students can work at their own pace in a supportive and welcoming environment.",Our course is designed to accommodate a wide range of skill levels. Instructors are mindful to divide drills and games into like-aged or like-skilled groups so that everyone has the opportunity to improve their abilities and be included in the fun.,Our course is designed to accommodate a wide range of skill levels. Instructors are mindful to divide small-side games into like-aged or like-skilled groups so that everyone has the opportunity to improve their abilities and be included in the fun.,"Whether your child is a beginner or already has some burgeoning Frisbee talents, they'll have a blast learning new skills, honing their abilities, and experiencing the joy of this fast-paced sport.",Our program accommodates diverse skill levels. Instructors carefully arrange drills and games by age and ability to ensure skill enhancement and enjoyable participation for all.,"Whether your child is a beginner or has prior experience, our program is designed for all skill levels. Each child progresses at their own pace in a supportive, non-competitive environment led by expert instructors.","Our program is designed to cater to various skill levels. Instructors take care to organize drills and games based on participants' age and skill, ensuring that everyone can enhance their skills and participate in the enjoyment","Our instructors are mindful to tailor their instruction to the skill level of our various participants, ensuring that both beginners and more experienced gymnasts will be in on the fun!",Extra Ed provides student-sized acoustic guitars with nylon strings to each participant. Between classes students take their instruments home to practice and serenade their families (serenade optional).,Extra Ed provides ukuleles with nylon strings to each student. Between classes students take their instruments home to practice and serenade their families (the serenade is optional).,"All our kindergarten programs are designed with age-appropriate curriculums that focuses on activity, play and exploration. Our kindergarten instructors in this program are experienced, patient and engaging for younger groups.",Extra Ed provides electric keyboards and sheet music to every student. Between classes students take their instruments home to practice on their own (or to jam with their families!).,,,,,
Key info - title,All skill levels welcome!,TDSB Partnership Program.,The platforms we use.,No instructions necessary.,Our robotics equipment.,Play in a safe space.,All experience levels welcome!,TDSB Partnership Program.,Social Responsibility.,All ages are welcome!,Scouting skills for all.,All skill levels welcome!,All skill levels welcome!,All skill levels welcome!,All skill levels welcome!,All skill levels welcome!,No experience necessary.,Magic is everywhere.,Final showcase video.,Final showcase video.,No experience necessary.,,,,,,,,,,,,,,,,,All experience levels welcome!,Chess etiquette.,Kindergarten focus.,Kindergarten focus.,All skill levels welcome!
Key info - body,We encourage participants from all experience levels. Our chess courses are grouped by like-skilled players so that instructors can deliver lessons and individual feedback appropriate to each and every player—from the newbie to the experienced competitor.,"Our chess course has been designed and approved to be delivered in-class, during instructional time. As a TDSB Partnership program, it supplements and supports specific outcomes from the Ontario Mathematics and Science & Technology Curricula. It is delivered at multiple grade levels. Learn more>","Dependent on level, our students either use block coding programs, such as Scratch or a standard programming language such as Python.","Our LEGO student program does not build from kits. We focus on open-ended-play, where inventiveness and imagination stem from students building without constraints. When every build is original, every build is more fun.","Dependent on student age, our program provides either LEGO Spike Essentials or LEGO Spike Prime robotics kits.","Participants explore in safe and secure environments, all generated within Minecraft: Education Edition. Personalized experiences and accessibility features ensure a positive and inclusive learning atmosphere for all.","Our course is designed to accommodate a wide range of students. Its experiments are clear, engaging and easy to follow for scientists of any age. More experienced groups analyze their findings in greater depth and discuss real life application of the scientific principles involved.","This program has been designed and approved to be delivered in-class, during instructional time. As a TDSB Partnership program, it supplements and supports specific outcomes from the Ontario Mathematics Curriculum. It is delivered to grades 4 through 6. Learn more>","Our program asks students to consider ethical and responsible entrepreneurship. We emphasize the importance of social responsibility, sustainability, and community-enhancing business practices.","In a fun and supportive setting, we cover safety topics applicable to a wide range of ages. Our activities are always scaled to suit the appropriate level of the students.","Either within a classroom setting or, weather permitting, out-and-about in the schoolyard and play-spaces, we tailor our scouting lessons to the particular age levels of our intrepid explorers.","Our art courses are designed to accommodate a wide range of skill levels, with projects that are open-ended and accessible. When applicable, our instructors will teach advanced techniques to more experienced students.","Our art courses are designed to accommodate a wide range of skill levels, with projects that are open-ended and accessible. When applicable, our instructors will teach advanced techniques to more experienced students.","Our art courses are designed to accommodate a wide range of skill levels. We design our projects to be open-ended and accessible. When applicable, our instructors may offer more advanced techniques to groups of more experienced students.","Our courses are designed to accommodate a wide range of skill levels. We design our projects to be open-ended and accessible. When applicable, our instructors may offer more advanced techniques to groups of more experienced students.","Our courses are designed to accommodate a wide range of skill levels. We design our projects to be open-ended and accessible. When applicable, our instructors may offer more advanced techniques to groups of more experienced students.","We tailor student projects to an appropriately complex pattern selection. There's room for everyone in this program, from complete newbies to seasoned stitchers.",The tricks our magicians teach require no special equipment. They are easily performed with everyday household items so that participants can recreate their burgeoning magic acts to dazzle friends and family.,"Our program culminates in a final showcase from our student ensemble. Chosen by the students from a selection of popular musicals, the performance is recorded for posterity and the video shared with participating families so they can partake in the fun.","Our program culminates in a final showcase from our student ensemble. Recorded for posterity, a video of the performance will be shared with participating families so they can partake in the fun.","We use a free, cloud-based animation platform. This intuitive program allows users of all ages to get started quickly and easily. Running directly in a web browser, it can be accessed anywhere allowing participants to continue to create at home.",,,,,,,,,,,,,,,,,"Our course is designed to accommodate a wide range of students. Its experiments are clear, engaging and easy to follow for scientists of any age. More experienced groups analyze their findings in greater depth and discuss real life application of the scientific principles involved.","Chess isn't just a game, it's a lesson in sportsmanship and resilience. Our kindergarten course introduces young players to chess with an emphasis on respect, fair play, and graceful behaviour—both on and off the board.","All our kindergarten programs are designed with age-appropriate curriculums that focuses on activity, play and exploration. Our kindergarten instructors in this program are experienced, patient and engaging for younger groups.","All our kindergarten programs are designed with age-appropriate curriculums that focuses on activity, play and exploration. Our kindergarten instructors in this program are experienced, patient and engaging for younger groups.","Our program is crafted to cater to various skill levels. Instructors ensure drills and games are grouped by age and skill, providing everyone with the chance to enhance their abilities and join the enjoyment."
Key info 2 - title,Extra Ed chess levels.,,Curriculum notes.,Curriculum notes.,Curriculum notes.,Curriculum notes.,Curriculum notes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key info  2- body,"Based on skill and experience we designate each of our students an Extra Ed chess level: Pawn, Knight, Rook, Bishop, Queen or King. We use these levels to group students for instruction, track their progress, and pair them in chess tournaments.",,Lessons and exercises are built to introduce and practice the following concepts:,"Each week students are tasked with a new challenge or project, for instance:",Weekly exercises are focused on developing the following skills and knowledge:,"Appropriate to their age and abilities, students will be instructed in:","Appropriate to their age and capabilities we do weekly experiments in biology, physics, chemistry, and astronomy. Lessons may include:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key info 3 - title,Available as a TDSB Partnership Program.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key info  3- body,"To learn about our chess program that is delivered under the TDSB Partnership Program, please visit our Chess for STEM and SEL/Échecs pour STIM et AS page.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curriculum title,Curriculum notes.,Curriculum notes.,Abstract reasoning,Build the strongest bridge competition,Introduction to block-coding,Tutorials for basic game mechanics.,Building scale models of the solar system,Curriculum notes.,Curriculum notes.,Curriculum notes.,Curriculum notes.,Curriculum notes.,Curriculum notes.,Curriculum notes.,Curriculum notes.,Curriculum notes.,Curriculum notes.,Curriculum notes:,Curriculum notes.,Curriculum notes.,Curriculum notes.,Curriculum notes.,Curriculum notes.,Curriculum Notes:,Curriculum notes.,Curriculum notes.,Curriculum notes.,Curriculum notes.,Curriculum notes.,Curriculum notes.,Curriculum Notes :,Curriculum notes.,Curriculum Notes:,Curriculum notes.,Curriculum notes.,Curriculum notes.,Curriculum notes.,Curriculum notes.,Curriculum notes.,Curriculum notes.,Curriculum notes.,Curriculum notes.
Curriculum intro,Dependent on chess level and experience students may be instructed in:,"Appropriate to their grade level and working to specific outcomes defined by school curriculum, students may be instructed in:",Logical sequence,Collaborative team builds,The basic logic of programming,Building a simple house in Minecraft.,Observing photosynthetic reactions in plant leaves,"Appropriate to their grade level and working to specific outcomes defined by school curriculum, students may be instructed in:",Lessons and exercises introduce and practice the following concepts:,"Appropriate to their age and abilities, students may be instructed in:","Appropriate to their age and abilities, students may be instructed in:","Appropriate to their age and abilities, students may be instructed in:","Appropriate to their age and abilities, students may be instructed in:","Appropriate to their age and writing abilities, students may be instructed in:",Each week we create pieces based on in-class demonstrations. Lessons may include:,"Appropriate to their age and abilities, students may be instructed in:",Lessons cover all the skills needed to complete each student’s project. They include:,"Appropriate to their age and abilities, students may be instructed in:",Each week we create pieces based on in-class demonstrations. Lessons may include:,Each week we create pieces based on in-class demonstrations. Lessons may include:,"Appropriate to their age and abilities, students may be instructed in:",Our lessons cover video-creation from concept to completion. They include:,Lessons and exercises are built to introduce and practice the following concepts:,"Appropriate to their age and abilities, students may be instructed in:","Dependent on weather and school facilities, the following sports MAY be featured:","Appropriate to their age and experience, activities may include:","Appropriate to their age and abilities, students will be instructed in:","Appropriate to their age and abilities, students will be instructed in:","Appropriate to their age and abilities, students will be instructed in:","Appropriate to their age and abilities, students will be instructed in:","Appropriate to their age and experience, activities may include:","Appropriate to their age and abilities, students will be instructed in:","Appropriate to their age and abilities, students may be instructed in:","Appropriate to their age and abilities, students will be instructed in:","Appropriate to their age and abilities, students will be instructed in:","Each week students make music as a group, performing songs and exercises. Lessons may include:","Appropriate to their age and abilities, students will be instructed in:",Appropriate to their age and capabilities we do facinating and fun weekly experiments. Lessons may include:,"Appropriate to their abilities and familiarity with the game, students may be instructed in:",Each week students create a new piece based on an in-class demonstration. Lessons may include:,"Appropriate to their age and abilities, students may be instructed in:","Appropriate to their age and abilities, students will be instructed in:"
Curriculum body,"Level 1, Pawn: Introduction to the game; piece-movement; and capture.",Practicing positive motivation and perseverance in facing challenges on the chessboard.,Reading and changing numbers on the code,"Theme-based builds such as zoos, cities, parks, or dream homes",Pattern recognition with shapes and colour,Creative mode” exploration in a multiplayer setting.,Creating an eruption using simple substances,"An introduction to currency, savings, banks, and borrowing money",Financial literacy and business fundamentals,How to pack and store an emgerency kit.,How to tie knots.,Line work and shading techniques,Blending markers and water,Character design,Marker blending techniques using water and brushes,Paper quilting creations,"Hand stitching: running stitch, whip stitch, back stitch",Basic tricks and techniques,"Breathing techniques for pitch, tone and diction",Introductory exercises to get comfortable in front of the group,Using pen on paper to create a flip-book animation,"Saving, importing, exporting footage with Google Drive","Art fundamentals - line, shape, colour, form",Designing customized sprites.,Basketball,An introduction to foundational poses,Introduction to basketball fundamentals,Introduction to fundamental techniques,"Passing skills - forehands, flicks, doinks, dumps, and dishes",Basic skills and ball striking,Introduction to basic stances and techniques,Understanding the rules,Dynamic stretches and flexibility drills,Care and handling of the instrument,Care and handling of the instrument,Introduction to percussion and rhythm,Care and handling of the instrument,Using ballons to make rockets,Introduction to chess and basic movements.,Marker blending techniques using water and brushes,Collaborative games and drama activities,Soccer
,"Level 2, Knight: Introduction to checkmate; castling; and basic endgames.",Employing critical thinking in chess strategy to look beyond the obvious next move.,Drawing and editing a character's image digitally,Free build sessions,Logical sequencing to achieve a desired outcome,Pixel art creation for art enthusiasts.,Using string telephones to understand sound waves,"Spending and saving behaviours, credit cards and debt",Business structures and funding,How to adminster to basic first aid treatment.,How to pack and store an exploring kit.,Drawing backgrounds and details,Creating with foam shapes,Facial expressions and exclamations,Exploring ways to harness the richness of paint,Making friendship bracelets with embroidery floss,"Learning about fabrics: knits, weaves, velvets, fun furs and more",Showmanship and presentation,Emoting on stage through song and gesture,"Movement, body language, and stage presence",Introduction to animation software,"Editing fundamentals: timelines, sequences, sound, music, and credits",Digital painting and drawing skills,Making characters move and interact using events.,Soccer,"Age-reflective themes to incorporate into our poses, such as “jungle animals”",Drills to improve technical skill,Building technical skills,"Agility, footwork and flow",Serving and receiving,Enhancing spatial and body awareness through drills,Basic shots and techniques,Body awareness and alignment,Strumming and picking,Strumming and picking,"Learning to use instruments including shakers, bells, tambourines and castanets","Proper finger, arm, and body positioning",Creating weightbearing structures from a variety of recycable materials,"Piece-roles, characteristics and positioning.",Creating dream homes with cut foam shapes,Working as a team and sharing ideas/taking turns,Basketball
,"Level 3, Bishop: Opening, middle, and endgame theory; analysis of draws; tactics such as pins, forks and skewers.",Comparing theoretical and experimental probabilities of in-game outcomes.,Problem solving and basic troubleshooting,Storytelling with LEGO,"Teamwork fundamentals: delegating roles, taking turns, working cooperatively",Learning scientific principles through the Minecraft physics engine.,Using static electricity to levitate rings,Simple and compound interest rates,"Market research, product development and prototyping",How to appropriately call for help.,How to tell time using sundials and the sky.,Collaborative drawing projects,Construction paper mosaics,Comic panels and word bubbles,Experimenting with the unpredictability of watercolour,Embroidery techniques,Working from patterns,Storytelling and routine development,Using dance movements to tell a story,Using voice and sound within a performance,Making characters and telling a story,Using found footage,Working with image layers,Adding logic and repetition to create dynamic gameplay.,Dodgeball,Yoga freeze dance,Court awareness and decision-making,Game awareness and decision-making,Offensive strategies,Footwork and court awareness,Character education for personal development,Serving and receiving,"Basic balance poses (e.g., passé, arabesque)",Learning to read tablature,Learning to read tablature,Keeping in time using a metronome,Introduction to reading music,Make popcorn dance with simple chemistry,Advanced movements and special rules.,Composing construction paper mosaics,"Understanding people, places and things through the art of acting",Dodgeball
,"Level 4, Rook: Intermediate checkmate; deeper understanding of tactics and combinations; game analysis.",Expressing piece-movement as coordinates via chess notation.,"Basic tech know-how (using a web browser, using shortcut keys, etc.)",Creative group projects,Basic tech know-how such as connecting LEGO hubs via bluetooth,Project Artemis: building and launching virtual rocket ships.,Building gliders to illustrate the physics of flight,Setting financial goals,Social responsibility and sustainability,How to prepare quick and easy snacks at home.,How to navigate with a compass and map.,Drawing facial expressions,"Exploring negative space with ""tape art”",Story and character development,Blending techniques using chalk and pastel,Origami animals,Working with measurements,Sleight of hand and misdirection,Following choreography,Character development,Storyboarding a short film idea in 6 panels,Shooting video with a web cam,Designing pixel-art characters and emojis,"Tracking scores, lives, and other game data with variables.",Ultimate frisbee,"Adding yoga elements to a game, such as “what time is it Mr Wolf?”",Offensive and defensive strategies,Small-side game strategies,Defensive techniques and transitonal play,Rules and scoring,"Non-contact, game-based martial arts practice",Footwork fun,Introduction to handstand progressions,Introduction to chord charts,Introduction to chord charts,Breathing and phrasing techniques for song,Rhythm and technique exploration,Dissecting plants to identify parts,"Numeracy, piece-value and chess notation.","Exploring the potential of negative space with ""tape art""","Exploring, playing, and creating stories",Cooperative games
,"Level 5, Queen: Game analysis; advanced opening, middle, and endgame strategies.",Adding and subtracting fractions representing piece-value and piece-movement.,,,,,,Registered accounts like RESPs and RRSPs,Marketing and promotion,How to spot a scam and protect yourself.,How to build fires and shelters in the wild.,Sketching techniques,Collaborative drawing projects,3D drawing and one-point perspective,"Collaborative projects, such as the exquisite corpse",Hand sewing,"Finishing skills: Hidden knots, hemline stitching, embroidery, buttons.",Performance preparation,Improvising musical scenes,Improvisation and creativity,Designing and animating characters with modelling clay,Storytelling and plot,Photo manipulation,Animating game concepts using sprite properties.,European handball,Student-invented variations on poses,"Agility, footwork, and fitness training","Agility, speed and fitness",Teamwork and communication,Team play and communication,Bullying awareness discussions,Court awareness,"Jumps and landings (e.g.straight jump, tuck jump, and star jump)",Introduction to techniques such as pull-offs and finger picking,Introduction to techniques such as pull-offs and finger picking,Playing percussive melody with the xylophone,Ear training for enhanced musical perception,Learning about density through colourful water experiments,Coordinating pieces and tactics.,"Collaborative projects, such as the exquisite corpse","Showcasing their performances, where possible",Handball
,"Level 6, King: Deep dive into game analysis and review; advanced gameplay; and analysis of student games.",Assigning dollar value to pieces and calculating transactions of piece-captures and trades.,,,,,,“Net Worth Tournament” (continuous activity throughout the program),Presentation and pitching skills,How to navigate out of being lost.,"How to track animal prints, bird calls and read hiking markers.",Perspective drawing,Kindergarten crafts,Lettering styles,Collage and other mixed media arts,Kindergarten crafts,Pattern drafting,Cultural and historical appreciation,Rehearsing towards the ensemble performance,Rehearsal and ensemble blocking,Creating a group animation project,Script writing,Combining skills to make digital collages,Combining skills to create and share a unique video game.,Touch football,Art and storytelling activities,Advanced skills development,Advanced skill development,Game scenarios,Sportsmanship,Playful fitness activities for a well-rounded experience.,Playful fitness,"Sequences combining rolls, jumps, and poses",Playing progressively challenging songs,Playing progressively challenging songs,Practicing age-relevant songs,Exploring improvisation in a supportive environment,Exploring the power of magnets through 3D shapes and mazes,Chess etiquette and sportsmanship.,Finding spontaneity through rock-guided line drawings,Complimenting peers on their fantastic work,Ultimate frisbee
Equipment title,,All equipment provided.,,All equipment provided.,All equipment provided.,"All equipment is provided, including iPads and Minecraft Education user accounts.",,,,,All equipment provided.,All materials provided.,All materials provided.,All materials provided.,All materials provided.,,All materials provided.,,,,All materials provided.,,,Students need an email address if they wish to save their Scratch projects.,All equipment provided.,All equipment provided.,All equipment provided.,All equipment provided.,All equipment provided.,All equipment provided.,All equipment provided.,All equipment provided.,All equipment provided.,All equipment provided.,All equipment provided.,,,,,All materials provided.,,All equipment provided.
Equipment body,,,,,,,,,,,,,,,,,,,,,,,,No spercial software is required to access Scratch projects at home.,,,,,,,,,,,,,,,,,,
Lunch/after school clubs - title,Available as Lunch and After-School Programs.,,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.,Available as Lunch and After-School Programs.
Clubs - body,"Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>",,"Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>","Our Clubs are run as extracurricular programming in schools across the Greater Toronto Area. With exciting subjects, engaging instructors, and hands-on activities, this program offers educational experiences beyond the school curriculum. Learn more>"
In-school enrichment - title,Available as In-Class Enrichment.,,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.,Available as In-Class Enrichment.
